"X1","X2","X3","siteID","coordx","coordy","AQ","AQ.coordx","AQ.coordy","elev","rlength","forest","time.1","time.2","time.3","date.1","date.2","date.3","dur.1","dur.2","dur.3"
25,16,16,"Q001",922942,63276,1,920442,170224,450,6.4,3,"1","2","3",18,41,63,195,220,230
20,10,12,"Q002",928942,79276,2,930942,190724,450,5.5,21,"1","2","3",13,49,62,201,215,190
4,4,1,"Q003",928942,103276,3,930942,210724,1050,4.3,32,"1","2","3",26,58,75,210,210,210
12,11,6,"Q004",934942,95276,3,930942,210724,950,4.5,9,"1","2","3",13,35,63,175,175,165
0,1,0,"Q005",934942,111276,4,930942,220724,1150,5.4,35,"1","2","3",24,45,66,235,170,220
4,1,4,"Q006",946942,95276,5,950942,210724,550,3.6,2,"1","2","3",31,44,68,120,135,120
12,11,4,"Q007",946942,111276,6,950942,220724,750,3.9,6,"1","2","3",14,45,66,195,255,165
7,10,5,"Q008",952942,119276,7,950942,230724,650,6.1,60,"1","2","3",37,57,73,210,210,180
10,14,4,"Q009",958942,111276,9,960942,220724,550,5.8,5,"1","2","3",18,41,56,185,205,170
5,6,6,"Q010",958942,127276,10,960942,240724,550,4.5,13,"1","2","3",29,58,68,220,215,225
4,3,1,"Q011",958942,143276,11,960942,250724,1150,3.8,50,"1","2","3",25,53,75,180,240,220
13,15,11,"Q012",964942,103276,8,960942,210724,750,7.7,57,"1","2","3",17,37,69,225,220,210
6,3,3,"Q013",964942,135276,11,960942,250724,1250,1.9,84,"1","2","3",44,67,74,135,130,85
16,23,18,"Q014",970942,95276,12,970942,210724,750,7.9,15,"1","2","3",13,26,72,215,155,200
6,4,6,"Q015",970942,127276,13,970942,240724,450,4.4,17,"1","2","3",18,42,68,185,200,195
11,4,6,"Q016",970942,159276,14,970942,270724,1050,6,58,"1","2","3",17,41,69,265,255,250
8,7,6,"Q017",976942,119276,19,980942,230724,750,6.2,26,"1","2","3",13,35,69,195,185,240
3,9,3,"Q018",976942,151276,21,980942,260724,1250,6.1,32,"1","2","3",31,59,74,215,240,245
9,2,2,"Q019",982942,63276,15,980942,170724,1250,4.5,66,"1","2","3",37,57,72,225,220,235
14,12,8,"Q020",982942,79276,16,980942,190724,350,6.2,45,"1","2","3",18,34,56,180,180,180
35,35,23,"Q021",982942,95276,17,980942,210724,750,4.1,44,"1","2","3",13,24,69,180,210,165
4,5,7,"Q022",982942,111276,18,980942,220724,750,4.5,9,"1","2","3",14,42,72,130,135,164
7,7,9,"Q023",982942,127276,20,980942,240724,550,6.9,31,"1","2","3",30,54,68,165,160,165
10,4,15,"Q024",988942,71276,23,990942,180724,350,4.7,8,"1","2","3",26,47,64,165,127,202
0,0,1,"Q025",988942,87276,24,990942,200724,1350,3.7,78,"1","2","3",66,78,86,205,222,200
19,10,6,"Q026",988942,151276,28,990942,260724,550,5.7,37,"1","2","3",25,45,64,285,390,285
7,5,3,"Q027",988942,167276,29,990942,280724,1150,4,18,"1","2","3",63,84,100,150,120,120
0,0,0,"Q028",994942,63276,22,990942,170724,1450,6.6,54,"1","2","3",50,77,86,255,255,240
5,0,1,"Q029",994942,111276,25,990942,220724,950,4.3,6,"1","2","3",18,63,76,140,115,120
2,3,3,"Q030",994942,127276,26,990942,240724,650,4.7,3,"1","2","3",15,44,57,191,231,238
13,13,15,"Q031",994942,143276,27,990942,250724,550,4.9,27,"1","2","3",22,48,67,210,220,230
10,5,3,"Q032",994942,191276,30,990942,300724,850,5.3,56,"1","2","3",23,44,68,225,165,240
7,2,4,"Q033",1000942,39276,40,1000942,150724,1250,5.6,66,"1","2","3",24,50,72,185,210,225
10,13,8,"Q034",1000942,55276,31,1000942,170724,450,6.7,5,"1","2","3",13,28,63,210,230,205
